event_id,code,name,horizon,signal_date,entry_price,final_exit_date,status,exit_reason,net_return,win,max_intraday_drawdown,position_weighted_drawdown,take_profit_fill_count,stop_loss_triggered,remaining_fraction_at_expiry
603005:b1_staged:3:20260709,603005,603005,3,2026-07-09,45.19,2026-07-13,filled,stop_loss,-0.016666666666666673,False,-0.0927196282363354,-0.06181308549089027,1,True,0.0
603005:b1_staged:4:20260709,603005,603005,4,2026-07-09,45.19,2026-07-13,filled,stop_loss,-0.016666666666666673,False,-0.0927196282363354,-0.06181308549089027,1,True,0.0
603005:b1_staged:5:20260709,603005,603005,5,2026-07-09,45.19,,insufficient_history,insufficient_history,,False,,,0,False,
603019:b1_staged:1:20260708,603019,603019,1,2026-07-08,98.15,2026-07-09,filled,expiry,0.056333842757683814,True,-0.0200713194090677,-0.0200713194090677,1,False,0.6666666666666667
603019:b1_staged:2:20260708,603019,603019,2,2026-07-08,98.15,2026-07-10,filled,take_profit,0.1,True,-0.0200713194090677,-0.0200713194090677,3,False,0.0
603019:b1_staged:3:20260708,603019,603019,3,2026-07-08,98.15,2026-07-10,filled,take_profit,0.1,True,-0.0200713194090677,-0.0200713194090677,3,False,0.0
603019:b1_staged:4:20260708,603019,603019,4,2026-07-08,98.15,2026-07-10,filled,take_profit,0.1,True,-0.0200713194090677,-0.0200713194090677,3,False,0.0
603019:b1_staged:5:20260708,603019,603019,5,2026-07-08,98.15,2026-07-10,filled,take_profit,0.1,True,-0.0200713194090677,-0.0200713194090677,3,False,0.0
603228:b1_staged:1:20260610,603228,603228,1,2026-06-10,75.34,2026-06-11,filled,expiry,0.00610565436687005,True,-0.023626227767454266,-0.023626227767454266,0,False,1.0
603228:b1_staged:2:20260610,603228,603228,2,2026-06-10,75.34,2026-06-12,filled,expiry,-0.02973188213432454,False,-0.02973188213432454,-0.02973188213432454,0,False,1.0
603228:b1_staged:3:20260610,603228,603228,3,2026-06-10,75.34,2026-06-15,filled,expiry,0.05330059286788787,True,-0.02973188213432454,-0.02973188213432454,1,False,0.6666666666666667
603228:b1_staged:4:20260610,603228,603228,4,2026-06-10,75.34,2026-06-16,filled,expiry,0.04153172285638443,True,-0.02973188213432454,-0.02973188213432454,1,False,0.6666666666666667
603228:b1_staged:5:20260610,603228,603228,5,2026-06-10,75.34,2026-06-17,filled,expiry,0.06462702415715418,True,-0.02973188213432454,-0.02973188213432454,1,False,0.6666666666666667
