event_id,code,name,horizon,signal_date,buy_close,exit_date,exit_close,net_return,max_intraday_drawdown,max_close_drawdown,status
688003:b1_close:3:20260612,688003,688003,3,2026-06-12,105.49,2026-06-17,116.2,0.10152621101526216,-0.023414541662716837,0.0,filled
688003:b1_close:4:20260612,688003,688003,4,2026-06-12,105.49,2026-06-18,124.42,0.1794482889373401,-0.023414541662716837,0.0,filled
688003:b1_close:5:20260612,688003,688003,5,2026-06-12,105.49,2026-06-22,115.0,0.09015072518722156,-0.023414541662716837,0.0,filled
688008:b1_close:1:20260603,688008,688008,1,2026-06-03,253.9,2026-06-04,259.67,0.02272548247341466,-0.023198109491926022,0.0,filled
688008:b1_close:2:20260603,688008,688008,2,2026-06-03,253.9,2026-06-05,239.39,-0.057148483654982374,-0.06415911776289873,-0.057148483654982374,filled
688008:b1_close:3:20260603,688008,688008,3,2026-06-03,253.9,2026-06-08,224.31,-0.11654194564789289,-0.1295785742418275,-0.11654194564789289,filled
688008:b1_close:4:20260603,688008,688008,4,2026-06-03,253.9,2026-06-09,236.4,-0.06892477353288695,-0.1295785742418275,-0.11654194564789289,filled
688008:b1_close:5:20260603,688008,688008,5,2026-06-03,253.9,2026-06-10,231.0,-0.09019298936589215,-0.1295785742418275,-0.11654194564789289,filled
688008:b1_close:1:20260615,688008,688008,1,2026-06-15,240.1,2026-06-16,244.17,0.016951270304039978,-0.0057892544773010535,0.0,filled
688008:b1_close:2:20260615,688008,688008,2,2026-06-15,240.1,2026-06-17,262.5,0.09329446064139946,-0.008371511870054138,0.0,filled
688008:b1_close:3:20260615,688008,688008,3,2026-06-15,240.1,2026-06-18,269.9,0.12411495210329027,-0.008371511870054138,0.0,filled
688008:b1_close:4:20260615,688008,688008,4,2026-06-15,240.1,2026-06-22,280.05,0.16638900458142447,-0.008371511870054138,0.0,filled
688008:b1_close:5:20260615,688008,688008,5,2026-06-15,240.1,2026-06-23,258.0,0.07455226988754693,-0.008371511870054138,0.0,filled
688008:b1_close:1:20260709,688008,688008,1,2026-07-09,285.8,2026-07-10,268.06,-0.062071378586424086,-0.06231630510846742,-0.062071378586424086,filled
688008:b1_close:2:20260709,688008,688008,2,2026-07-09,285.8,2026-07-13,252.79,-0.11550034989503155,-0.12333799860041983,-0.11550034989503155,filled
688008:b1_close:3:20260709,688008,688008,3,2026-07-09,285.8,2026-07-14,270.0,-0.05528341497550737,-0.13121063680895728,-0.11550034989503155,filled
688008:b1_close:4:20260709,688008,688008,4,2026-07-09,285.8,2026-07-15,252.68,-0.11588523442967114,-0.13121063680895728,-0.11588523442967114,filled
688008:b1_close:5:20260709,688008,688008,5,2026-07-09,285.8,,,,,,insufficient_history
688012:b1_close:1:20260709,688012,688012,1,2026-07-09,471.59,2026-07-10,434.51,-0.07862762145083646,-0.07970906931868782,-0.07862762145083646,filled
688012:b1_close:2:20260709,688012,688012,2,2026-07-09,471.59,2026-07-13,408.6,-0.1335694141097139,-0.14750100723085735,-0.1335694141097139,filled
688012:b1_close:3:20260709,688012,688012,3,2026-07-09,471.59,2026-07-14,405.3,-0.14056701796051652,-0.19633580016539787,-0.14056701796051652,filled
688012:b1_close:4:20260709,688012,688012,4,2026-07-09,471.59,2026-07-15,391.29,-0.17027502703619657,-0.19633580016539787,-0.17027502703619657,filled
688012:b1_close:5:20260709,688012,688012,5,2026-07-09,471.59,,,,,,insufficient_history
688037:b1_close:1:20260603,688037,688037,1,2026-06-03,256.95,2026-06-04,258.63,0.006538237011091574,-0.04230395018486077,0.0,filled
688037:b1_close:2:20260603,688037,688037,2,2026-06-03,256.95,2026-06-05,247.19,-0.037984043588246696,-0.05156645261724069,-0.037984043588246696,filled
688037:b1_close:3:20260603,688037,688037,3,2026-06-03,256.95,2026-06-08,230.75,-0.10196536291107217,-0.11235648958941424,-0.10196536291107217,filled
688037:b1_close:4:20260603,688037,688037,4,2026-06-03,256.95,2026-06-09,246.0,-0.0426152948044366,-0.11235648958941424,-0.10196536291107217,filled
688037:b1_close:5:20260603,688037,688037,5,2026-06-03,256.95,2026-06-10,244.12,-0.04993189336446768,-0.11235648958941424,-0.10196536291107217,filled
688048:b1_close:1:20260709,688048,688048,1,2026-07-09,472.44,2026-07-10,445.6,-0.056811446956227196,-0.057636948607230565,-0.056811446956227196,filled
688048:b1_close:2:20260709,688048,688048,2,2026-07-09,472.44,2026-07-13,403.69,-0.14552112437558207,-0.14909829819659637,-0.14552112437558207,filled
688048:b1_close:3:20260709,688048,688048,3,2026-07-09,472.44,2026-07-14,459.0,-0.028448056896113738,-0.1573533147066294,-0.14552112437558207,filled
688048:b1_close:4:20260709,688048,688048,4,2026-07-09,472.44,2026-07-15,447.0,-0.0538481076962154,-0.1573533147066294,-0.14552112437558207,filled
688048:b1_close:5:20260709,688048,688048,5,2026-07-09,472.44,,,,,,insufficient_history
688072:b1_close:1:20260603,688072,688072,1,2026-06-03,615.49,2026-06-04,623.02,0.012234154900973238,-0.03164958000942342,0.0,filled
688072:b1_close:2:20260603,688072,688072,2,2026-06-03,615.49,2026-06-05,582.3,-0.053924515426733266,-0.059286097255844994,-0.053924515426733266,filled
688072:b1_close:3:20260603,688072,688072,3,2026-06-03,615.49,2026-06-08,568.47,-0.07639441745601061,-0.10965247201416761,-0.07639441745601061,filled
688072:b1_close:4:20260603,688072,688072,4,2026-06-03,615.49,2026-06-09,597.0,-0.030041105460689832,-0.10965247201416761,-0.07639441745601061,filled
688072:b1_close:5:20260603,688072,688072,5,2026-06-03,615.49,2026-06-10,618.0,0.00407805163365782,-0.10965247201416761,-0.07639441745601061,filled
688072:b1_close:1:20260610,688072,688072,1,2026-06-10,618.0,2026-06-11,655.27,0.06030744336569582,-0.025873786407767052,0.0,filled
688072:b1_close:2:20260610,688072,688072,2,2026-06-10,618.0,2026-06-12,645.18,0.04398058252427184,-0.025873786407767052,0.0,filled
688072:b1_close:3:20260610,688072,688072,3,2026-06-10,618.0,2026-06-15,669.69,0.08364077669902925,-0.025873786407767052,0.0,filled
688072:b1_close:4:20260610,688072,688072,4,2026-06-10,618.0,2026-06-16,655.8,0.061165048543689204,-0.025873786407767052,0.0,filled
688072:b1_close:5:20260610,688072,688072,5,2026-06-10,618.0,2026-06-17,740.0,0.19741100323624594,-0.025873786407767052,0.0,filled
688110:b1_close:1:20260709,688110,688110,1,2026-07-09,176.34,2026-07-10,164.0,-0.06997845072019959,-0.06997845072019959,-0.06997845072019959,filled
688110:b1_close:2:20260709,688110,688110,2,2026-07-09,176.34,2026-07-13,154.15,-0.1258364523080413,-0.13303844845185442,-0.1258364523080413,filled
688110:b1_close:3:20260709,688110,688110,3,2026-07-09,176.34,2026-07-14,155.96,-0.11557219008733122,-0.17301803334467503,-0.1258364523080413,filled
688110:b1_close:4:20260709,688110,688110,4,2026-07-09,176.34,2026-07-15,147.33,-0.16451173868662805,-0.17772484972212776,-0.16451173868662805,filled
688110:b1_close:5:20260709,688110,688110,5,2026-07-09,176.34,,,,,,insufficient_history
688126:b1_close:1:20260604,688126,688126,1,2026-06-04,28.85,2026-06-05,28.49,-0.012478336221837139,-0.039514731369150846,-0.012478336221837139,filled
688126:b1_close:2:20260604,688126,688126,2,2026-06-04,28.85,2026-06-08,26.44,-0.08353552859618718,-0.09185441941074535,-0.08353552859618718,filled
688126:b1_close:3:20260604,688126,688126,3,2026-06-04,28.85,2026-06-09,31.73,0.09982668977469666,-0.09185441941074535,-0.08353552859618718,filled
688126:b1_close:4:20260604,688126,688126,4,2026-06-04,28.85,2026-06-10,32.65,0.1317157712305026,-0.09185441941074535,-0.08353552859618718,filled
688126:b1_close:5:20260604,688126,688126,5,2026-06-04,28.85,2026-06-11,32.5,0.12651646447140386,-0.09185441941074535,-0.08353552859618718,filled
688126:b1_close:1:20260709,688126,688126,1,2026-07-09,37.25,2026-07-10,36.4,-0.02281879194630876,-0.02604026845637586,-0.02281879194630876,filled
688126:b1_close:2:20260709,688126,688126,2,2026-07-09,37.25,2026-07-13,35.86,-0.03731543624161071,-0.05315436241610727,-0.03731543624161071,filled
688126:b1_close:3:20260709,688126,688126,3,2026-07-09,37.25,2026-07-14,34.58,-0.07167785234899338,-0.14067114093959732,-0.07167785234899338,filled
