"window","timing","stop","residual_dd","horizon","event_count","mean_net_return","median_net_return","win_rate","mean_intraday_drawdown","worst_intraday_drawdown","mean_position_weighted_drawdown","worst_position_weighted_drawdown","mean_take_profit_fill_count","stop_loss_rate","expiry_exit_rate"
"20260601_20260715","next_open","sl6","dd8","3","84","0.0178666549751243","0.0339353169782698","0.55952380952381","-0.0484028678351439","-0.11738746690203","-0.046317914015406","-0.112356489589414","0.880952380952381","0.404761904761905","0.464285714285714"
"20260601_20260715","next_open","sl6","dd8","4","78","0.0170404128956707","0.0175706884224624","0.525641025641026","-0.0520469113398863","-0.11738746690203","-0.0487720063887367","-0.112356489589414","0.961538461538462","0.448717948717949","0.41025641025641"
"20260601_20260715","next_open","sl6","dd8","5","74","0.0151419276633808","0.00201041364913443","0.5","-0.0563244819139014","-0.309002267573696","-0.0508174928173878","-0.206001511715797","0.959459459459459","0.486486486486487","0.27027027027027"
"20260601_20260715","next_open","sl8","dd10","1","117","-0.00399536131469909","0.00280554094336316","0.538461538461538","-0.0424796583158219","-0.148004314994606","-0.0424796583158219","-0.148004314994606","0.384615384615385","0.179487179487179","0.803418803418803"
"20260601_20260715","next_open","sl8","dd10","2","116","-0.00444617820316698","-0.00721994988971453","0.474137931034483","-0.059765175057745","-0.190984401821031","-0.0577529102651967","-0.190984401821031","0.620689655172414","0.344827586206897","0.629310344827586"
"20260601_20260715","next_open","sl8","dd10","3","84","0.0171936604019217","0.0510520353304941","0.583333333333333","-0.0549809563311654","-0.146284501061571","-0.0528960025114274","-0.146284501061571","0.916666666666667","0.333333333333333","0.607142857142857"
"20260601_20260715","next_open","sl8","dd10","4","78","0.0195093520254448","0.0224612993069499","0.576923076923077","-0.0593975738779369","-0.141315014720314","-0.0552530578484381","-0.141315014720314","1.03846153846154","0.384615384615385","0.576923076923077"
"20260601_20260715","next_open","sl8","dd10","5","74","0.0183835645356983","0.0284420537403298","0.567567567567568","-0.064353602438821","-0.309002267573696","-0.0582442770269418","-0.206001511715797","1.05405405405405","0.432432432432432","0.445945945945946"
"20260601_20260715","next_open","sl8","dd8","1","117","-0.00412414043926501","0.00280554094336316","0.538461538461538","-0.0424796583158219","-0.148004314994606","-0.0424796583158219","-0.148004314994606","0.384615384615385","0.179487179487179","0.794871794871795"
"20260601_20260715","next_open","sl8","dd8","2","116","-0.0045322549905684","-0.00721994988971453","0.474137931034483","-0.059765175057745","-0.190984401821031","-0.0577529102651967","-0.190984401821031","0.620689655172414","0.344827586206897","0.620689655172414"
"20260601_20260715","next_open","sl8","dd8","3","84","0.0155679599699578","0.0481819302175536","0.583333333333333","-0.0549809563311654","-0.146284501061571","-0.0528960025114274","-0.146284501061571","0.916666666666667","0.333333333333333","0.535714285714286"
"20260601_20260715","next_open","sl8","dd8","4","78","0.0175041594789236","0.0224612993069499","0.576923076923077","-0.0590136607733909","-0.141315014720314","-0.0552530578484381","-0.141315014720314","1.03846153846154","0.371794871794872","0.487179487179487"
"20260601_20260715","next_open","sl8","dd8","5","74","0.0149566027724557","0.0284420537403298","0.567567567567568","-0.0639242550581067","-0.309002267573696","-0.0582442770269418","-0.206001511715797","1.05405405405405","0.418918918918919","0.324324324324324"
"20260601_20260715","same_close","atr","dd10","1","117","-0.00476330065055246","0.00280554094336316","0.538461538461538","-0.0424796583158219","-0.148004314994606","-0.0424796583158219","-0.148004314994606","0.393162393162393","0.0683760683760684","0.914529914529915"
"20260601_20260715","same_close","atr","dd10","2","116","-0.00780552039312823","-0.00721994988971453","0.474137931034483","-0.0651136773958881","-0.230779324733948","-0.0626133542466494","-0.230779324733948","0.629310344827586","0.275862068965517","0.698275862068966"
"20260601_20260715","same_close","atr","dd10","3","84","0.0149631139282905","0.0521439250071444","0.595238095238095","-0.0587183312195467","-0.157411957411957","-0.0566333773998088","-0.157411957411957","0.928571428571429","0.273809523809524","0.666666666666667"
"20260601_20260715","same_close","atr","dd10","4","78","0.0196772434430068","0.0411158309960559","0.615384615384615","-0.0634224391423476","-0.157411957411957","-0.0592779231128487","-0.157411957411957","1.07692307692308","0.294871794871795","0.653846153846154"
"20260601_20260715","same_close","atr","dd10","5","74","0.0205468451941048","0.0439141373588138","0.621621621621622","-0.0684668417038076","-0.309002267573696","-0.0623575162919283","-0.206001511715797","1.12162162162162","0.324324324324324","0.540540540540541"
"20260601_20260715","same_close","atr","dd8","1","117","-0.00489207977511838","0.00280554094336316","0.538461538461538","-0.0424796583158219","-0.148004314994606","-0.0424796583158219","-0.148004314994606","0.393162393162393","0.0683760683760684","0.905982905982906"
"20260601_20260715","same_close","atr","dd8","2","116","-0.00789159718052964","-0.00721994988971453","0.474137931034483","-0.0651136773958881","-0.230779324733948","-0.0626133542466494","-0.230779324733948","0.629310344827586","0.275862068965517","0.689655172413793"
"20260601_20260715","same_close","atr","dd8","3","84","0.0133374134963265","0.0510520353304941","0.595238095238095","-0.0587183312195467","-0.157411957411957","-0.0566333773998088","-0.157411957411957","0.928571428571429","0.273809523809524","0.595238095238095"
"20260601_20260715","same_close","atr","dd8","4","78","0.0176203422750874","0.0445680525420084","0.615384615384615","-0.0630385260378015","-0.157411957411957","-0.0592779231128487","-0.157411957411957","1.07692307692308","0.294871794871795","0.564102564102564"
"20260601_20260715","same_close","atr","dd8","5","74","0.0170653797488478","0.0468188925751941","0.621621621621622","-0.0680374943230932","-0.309002267573696","-0.0623575162919283","-0.206001511715797","1.12162162162162","0.324324324324324","0.418918918918919"
"20260601_20260715","same_close","sl6","dd10","1","117","-0.00111005731326345","0.00249103833768749","0.52991452991453","-0.0424796583158219","-0.148004314994606","-0.0424796583158219","-0.148004314994606","0.384615384615385","0.282051282051282","0.700854700854701"
"20260601_20260715","same_close","sl6","dd10","2","116","-0.00105464169202854","-0.0162930295234595","0.448275862068966","-0.055465499641958","-0.190984401821031","-0.0534532348494096","-0.190984401821031","0.612068965517241","0.448275862068966","0.525862068965517"
"20260601_20260715","same_close","sl6","dd10","3","84","0.0194923554070883","0.0346203053516331","0.55952380952381","-0.0484028678351439","-0.11738746690203","-0.046317914015406","-0.112356489589414","0.880952380952381","0.404761904761905","0.535714285714286"
"20260601_20260715","same_close","sl6","dd10","4","78","0.019131075527662","0.0175706884224624","0.525641025641026","-0.0524308244444324","-0.11738746690203","-0.0487720063887367","-0.112356489589414","0.961538461538462","0.461538461538462","0.5"
"20260601_20260715","same_close","sl6","dd10","5","74","0.0187681384494018","0.00201041364913443","0.5","-0.0567538292946157","-0.309002267573696","-0.0508174928173878","-0.206001511715797","0.959459459459459","0.5","0.391891891891892"
"20260601_20260715","same_close","sl6","dd8","1","117","-0.00123883643782937","0.00249103833768749","0.52991452991453","-0.0424796583158219","-0.148004314994606","-0.0424796583158219","-0.148004314994606","0.384615384615385","0.282051282051282","0.692307692307692"
"20260601_20260715","same_close","sl6","dd8","2","116","-0.00114071847942996","-0.0162930295234595","0.448275862068966","-0.055465499641958","-0.190984401821031","-0.0534532348494096","-0.190984401821031","0.612068965517241","0.448275862068966","0.517241379310345"
"20260601_20260715","same_close","sl6","dd8","3","84","0.0178666549751243","0.0339353169782698","0.55952380952381","-0.0484028678351439","-0.11738746690203","-0.046317914015406","-0.112356489589414","0.880952380952381","0.404761904761905","0.464285714285714"
